filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
6579715725.arw,4384774149.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,125,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:51:32, jpeg DateTimeOriginal=2023-11-05 04:51:32"
1054258552.arw,9364783297.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:55:49, jpeg DateTimeOriginal=2023-11-05 04:55:49"
7882980375.arw,8711680447.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,6400,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:57:58, jpeg DateTimeOriginal=2023-11-05 04:57:58"
1367238528.arw,0269820795.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:58:14, jpeg DateTimeOriginal=2023-11-05 04:58:14"
4810006603.arw,5402071679.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 04:58:17, jpeg DateTimeOriginal=2023-11-05 04:58:17"
6138626348.arw,3705218209.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 05:09:50, jpeg DateTimeOriginal=2023-11-05 05:09:50"
6584346986.arw,6083044754.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 05:10:02, jpeg DateTimeOriginal=2023-11-05 05:10:02"
4829519985.arw,5070760572.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,4000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 05:12:12, jpeg DateTimeOriginal=2023-11-05 05:12:12"
3472509090.arw,3509070351.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,2000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 05:14:09, jpeg DateTimeOriginal=2023-11-05 05:14:09"
1618980171.arw,3995291048.jpg,ILCE-7CR,FE 24-70mm F2.8 GM II,5000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2023-11-05 05:17:10, jpeg DateTimeOriginal=2023-11-05 05:17:10"
