filename_raw,filename_jpeg,camera,lens,iso,wb_setting,scene_type,filename_phocus_tiff,phocus_settings,illuminant,download_url,notes
2015434528.dng,1787573511.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,8000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-02 16:01:39, jpeg DateTimeOriginal=2019-11-02 16:01:39"
1434917550.dng,0697779988.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,3200,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-02 16:02:31, jpeg DateTimeOriginal=2019-11-02 16:02:31"
3674437601.dng,2213935621.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,1000,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-02 16:03:06, jpeg DateTimeOriginal=2019-11-02 16:03:06"
5278768553.dng,7884328261.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,640,auto,lowlight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-02 16:09:25, jpeg DateTimeOriginal=2019-11-02 16:09:25"
8080237535.dng,8947422512.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 14:30:42, jpeg DateTimeOriginal=2019-11-05 14:30:42"
9144311980.dng,7642233212.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 14:34:00, jpeg DateTimeOriginal=2019-11-05 14:34:00"
9619450328.dng,7498793958.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 14:35:54, jpeg DateTimeOriginal=2019-11-05 14:35:54"
9063404461.dng,0139029657.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 14:36:00, jpeg DateTimeOriginal=2019-11-05 14:36:00"
6278763744.dng,8046841621.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 14:39:12, jpeg DateTimeOriginal=2019-11-05 14:39:12"
6162669685.dng,4613524521.jpg,LEICA SL2,VARIO-ELMARIT-SL 1:2.8-4/24-90 ASPH.,100,auto,daylight,,,,"local (owner personal library, split local-work-2026-08)","exif raw DateTimeOriginal=2019-11-05 15:00:21, jpeg DateTimeOriginal=2019-11-05 15:00:21"
